X,Y,OBJECTID,Facility_ID,Facility_Name,Facility_Type_Code,Facility_Type,Map_Symbol,Facility_Type_Detail,Facility_Type_Abbreviation,Licensed_Beds_Total,Telephone,County,Address_Full,LAT,LON,CDPHE_HFEMS_Licensed,Operating_Status,Designation_Level,Date_Data_Updated,Source
252522.488019996,4202628.97022447,1,181218,TELLURIDE REGIONAL MEDICAL CENTER,S62,Community Clinic,Clinic,COMMUNITY CLINIC/EMERGENCY,CCEC,0,(970) 728-3848,SAN MIGUEL,"500 W PACIFIC AVE, TELLURIDE, CO 81435",37.937569,-107.816071,Licensed,Active,Level V,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
379653.5585187,4170563.95703069,2,251011,RIO GRANDE HOSPITAL,014,Hospital,Hospital,CRITICAL ACCESS HOSPITALS,HOSP-CAH,17,(719) 657-2510,RIO GRANDE,"310 COUNTY ROAD 14, DEL NORTE, CO 81132",37.674381,-106.364685,Licensed,Active,Level IV,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
700340.099765643,4501653.53804908,3,010112,HAXTUN HOSPITAL DISTRICT,014,Hospital,Hospital,CRITICAL ACCESS HOSPITALS,HOSP-CAH,25,(970) 774-6123,PHILLIPS,"235 W FLETCHER ST, HAXTUN, CO 80731",40.641441,-102.630775,Licensed,Active,Nondesignated Trauma Facility,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
729354.773541059,4495495.92149357,4,010120,MELISSA MEMORIAL HOSPITAL,014,Hospital,Hospital,CRITICAL ACCESS HOSPITALS,HOSP-CAH,15,(970) 854-2241,PHILLIPS,"1001 E JOHNSON ST, HOLYOKE, CO 80734",40.578484,-102.29023,Licensed,Active,Level IV,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
692874.55725054,4443365.17477794,5,010127,YUMA DISTRICT HOSPITAL,014,Hospital,Hospital,CRITICAL ACCESS HOSPITALS,HOSP-CAH,15,(970) 848-5405,YUMA,"1000 W 8TH AVE, YUMA, CO 80759",40.1185,-102.736633,Licensed,Active,Level IV,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
602372.887326141,4457245.48943618,6,010130,ST. ELIZABETH HOSPITAL,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,50,(970) 867-3391,MORGAN,"1000 LINCOLN ST, FORT MORGAN, CO 80701",40.259415,-103.796135,Licensed,Active,Level IV,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
650534.449509967,4497389.98126468,7,010140,STERLING REGIONAL MEDCENTER,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,25,(970) 522-0122,LOGAN,"615 FAIRHURST ST, STERLING, CO 80751",40.613632,-103.220482,Licensed,Active,Level III,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
631879.248630552,4333201.15291406,8,010150,LINCOLN HEALTH HOSPITAL,014,Hospital,Hospital,CRITICAL ACCESS HOSPITALS,HOSP-CAH,25,(719) 743-2421,LINCOLN,"111 6TH ST, HUGO, CO 80821",39.138016,-103.474068,Licensed,Active,Level IV,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
735804.654910833,4439797.54709963,9,010160,WRAY COMMUNITY DISTRICT HOSPITAL,014,Hospital,Hospital,CRITICAL ACCESS HOSPITALS,HOSP-CAH,15,(970) 332-4811,YUMA,"1017 W 7TH ST, WRAY, CO 80758",40.075459,-102.234657,Licensed,Active,Level IV,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
735347.651745183,4353922.20916002,10,010167,KIT CARSON COUNTY MEMORIAL HOSPITAL,014,Hospital,Hospital,CRITICAL ACCESS HOSPITALS,HOSP-CAH,19,(719) 346-4824,KIT CARSON,"286 16TH ST, BURLINGTON, CO 80807",39.302715,-102.270638,Licensed,Active,Level IV,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
