OBJECTID,NAME,LINK,ADDRESS,CITY,ZIP,ZIP4,PHONE,FAX,ACUTE,ICU,CAH,Heli,Weblink,Beds_Total,Beds_Total_ICU,Updated,Beds_Psychiatric,x,y
1,Eastern State Hospital,1,850 Maple Street   P.O. Box A,Medical Lake,99022,0045,(509) 565-4000,(509) 565-4705,No,No,No,No,https://www.dshs.wa.gov/bhsia/division-state-hospitals/eastern-state-hospital-overview,317,0,5/5/2025 12:00:00 AM,91,-13101630.6588,6036133.0019
2,Madigan Army Medical Center,2,9040 Jackson Avenue,Tacoma,98431,5000,(253) 968-1110,(253) 968-0366,Yes,Yes,No,Yes,https://madigan.tricare.mil/,240,60,5/5/2025 12:00:00 AM,0,-13642456.3132,5959829.819
3,PeaceHealth United General Medical Center,3,2000 Hospital Drive,Sedro-Woolley,98284,4327,(360) 856-6021,(360)856-7204,Yes,Yes,Yes,Yes,https://www.peacehealth.org/hospitals/peacehealth-united-general-medical-center,25,3,5/5/2025 12:00:00 AM,0,-13611737.4402,6189786.2733
4,Mid-Valley Hospital ,4,810 Jasmine,Omak,98841, ,(509) 826-1760,(509) 826-7379,Yes,No,Yes,Yes,https://www.mvhealth.org/,25,0,5/5/2025 12:00:00 AM,0,-13307858.3855,6173084.9432
5,Franciscan Health St. Joseph Medical Center,5,1717 South J St,Tacoma,98405,4944,(253) 426-4101,(253) 426-6880,Yes,Yes,No,Yes,https://www.vmfh.org/our-hospitals/st-joseph-medical-center,366,48,5/5/2025 12:00:00 AM,23,-13630868.4769,5982318.8977
6,Mason Health,6,901 Mountain View Drive,Shelton,98584,2057,(360) 426-1611,(360) 427-1921,Yes,Yes,Yes,Yes,https://www.masonhealth.com/,25,10,5/5/2025 12:00:00 AM,0,-13705033.9819,5979023.4735
7,Arbor Health,7,521 Adams St,Morton,98356,0019,(360) 496-5112,(360) 496-3511,Yes,No,Yes,Yes,https://www.myarborhealth.org/,25,0,5/5/2025 12:00:00 AM,0,-13612186.785,5869848.0764
8,Snoqualmie Valley Hospital,8,9801 Frontier Avenue SE,Snoqualmie,98065,2021,(425) 831-2300,(425) 831-1994,Yes,No,Yes,Yes,https://snoqualmievalleyhealth.org/,25,0,5/5/2025 12:00:00 AM,0,-13568256.8944,6026164.42
9,Naval Hospital - Bremerton,9,One Boone Road,Bremerton,98312,1898,(360) 475-4000,(360) 475-4476,Yes,Yes,No,Yes,https://bremerton.tricare.mil/,25,6,5/5/2025 12:00:00 AM,0,-13657962.0432,6039739.4296
10,Jonathan M. Wainwright Memorial VA Medical Center,10,77 Wainwright Drive,Walla Walla,99362,3975,(509) 525-5200,(509) 527-3452,No,No,No,No,https://www.va.gov/walla-walla-health-care/,102,0,5/5/2025 12:00:00 AM,0,-13175608.3202,5788935.3485
11,Lake Chelan Community Hospital & Clinics,11,503 Highland Ave E,Chelan,98816,0908,(509) 682-3300,(509) 682-2452,Yes,No,Yes,Yes,https://lakechelanhealth.org/,25,0,5/5/2025 12:00:00 AM,0,-13359408.9683,6081102.04
12,North Valley Hospital ,12,203 South Western Avenue,Tonasket,98855,0488,(509) 486-2151,(509) 486-3119,Yes,No,Yes,Yes,https://www.nvhospital.org/,25,0,5/5/2025 12:00:00 AM,0,-13295858.7436,6225291.1899
13,Ocean Beach Hospital,13,174 1st Avenue North,Ilwaco,98624,0258,(360) 642-3181,(360) 642-6309,Yes,No,Yes,Yes,https://www.oceanbeachhospital.com/,25,0,5/5/2025 12:00:00 AM,0,-13808362.5003,5830398.0191
14,Willapa Harbor Hospital,14,800 Alder Street,South Bend,98586,0438,(360) 875-5526,(360) 875-5109,Yes,No,Yes,Yes,https://www.willapaharborhospital.com/,25,0,5/5/2025 12:00:00 AM,0,-13782721.2125,5887210.4693
15,Whitman Hospital & Medical Clinics,15,1200 West Fairview,Colfax,99111,9579,(509) 397-3435,(509) 397-2563,Yes,No,Yes,Yes,https://www.whmc.org/,25,0,5/5/2025 12:00:00 AM,0,-13066242.091,5920706.3432
16,Skyline Hospital,16,211 Skyline Dr,White Salmon,98672,0099,(509) 493-1101,(509) 493-4607,Yes,Yes,Yes,Yes,https://myskylinehealth.org/,25,2,5/5/2025 12:00:00 AM,0,-13522037.6212,5735971.3672
17,American Lake VA Medical Center,17,9600 Veterens Drive SW,Tacoma,98493, ,(800) 329-8387,(253) 396-6239,No,No,No,No,https://www.va.gov/puget-sound-health-care/locations/american-lake-va-medical-center/,459,0,5/5/2025 12:00:00 AM,0,-13645375.7617,5963859.3231
18,Providence Holy Family Hospital ,18,5633 N. Lidgerwood,Spokane,99204,,(509) 482-0111,(509) 482-2456,Yes,Yes,No,Yes,https://www.providence.org/locations/wa/holy-family-hospital,197,14,5/5/2025 12:00:00 AM,0,-13069656.8463,6058703.4319
19,Odessa Memorial Healthcare Center,19,502 E. Amende Dr,Odessa,99159,0368,(509) 982-2611,(509) 982-2616,Yes,No,Yes,Yes,https://www.omhc.org/,25,0,5/5/2025 12:00:00 AM,0,-13211675.965,5996301.1133
20,Othello Community Hospital ,20,315 N. 14th Ave,Othello,99344,1297,(509) 488-2636,(509) 331-2617,Yes,No,Yes,Yes,https://www.othellocommunityhospital.org/,25,0,5/5/2025 12:00:00 AM,0,-13264303.0307,5914436.2758
21,PeaceHealth St. John Medical Center ,21,1615 Delaware St,Longview,98632,3002,(360) 414-2000,(360) 636-4952,Yes,Yes,No,Yes,https://www.peacehealth.org/hospitals/peacehealth-st-john-medical-center,346,16,5/5/2025 12:00:00 AM,0,-13685812.9178,5801317.7591
22,Skagit Valley Hospital ,22,300 Hospital Parkway,Mount Vernon,98274,1376,(360) 424-4111,(360) 814-2416,Yes,Yes,No,Yes,https://www.skagitregionalhealth.org/location-details/skagit-valley-hospital,137,16,5/5/2025 12:00:00 AM,0,-13617050.1889,6176657.1602
23,Providence St. Josephs,23,500 East Webster Ave,Chewelah,99109,0197,(509) 935-8211,(509) 935-5205,Yes,No,Yes,Yes,https://www.providence.org/locations/wa/st-josephs-hospital,25,0,5/5/2025 12:00:00 AM,0,-13103506.7564,6153189.5693
24,Confluence Health Hospital Central Campus,24,1201 South Miller Street,Wenatchee,98807,1887,(509) 662-1511,(509) 662-6017,Yes,Yes,No,Yes,https://www.confluencehealth.org/locations/confluence-health-hospital-central-campus/,198,20,5/5/2025 12:00:00 AM,0,-13394075.8483,6008696.6869
25,East Adams Rural Healthcare,25,903 South Adams St,Ritzville,99169,2298,(509) 659-1200,(509) 659-1252,Yes,No,Yes,Yes,https://www.earh.org/,25,0,5/5/2025 12:00:00 AM,0,-13177098.1358,5961882.5634
26,Trios Southridge Hospital,26,3810 Plaza Way,Kennewick,99338,6128,(509) 221-7000,,Yes,Yes,No,Yes,https://www.trioshealth.org/locations/trios-southridge-hospital,124,14,5/5/2025 12:00:00 AM,0,-13268454.0399,5808864.0516
27,Kittitas Valley Healthcare,27,603 Chestnut St S,Ellensburg,98926,3875,(509) 962-9841,(509) 962-7351,Yes,Yes,Yes,Yes,https://www.kvhealthcare.org/,25,20,5/5/2025 12:00:00 AM,0,-13418217.2418,5939967.7346
28,Klickitat Valley Health,28,310 South Roosevelt Ave,Goldendale,98620,9201,(509) 773-4022,(509) 773-1036,Yes,No,Yes,Yes,https://www.kvhealth.net/,25,0,5/5/2025 12:00:00 AM,0,-13448630.8033,5751579.6696
29,Lourdes Medical Center,29,520 N. Fourth Ave,Pasco,99301,5257,(509) 547-7704,(509) 546-2291,Yes,Yes,Yes,Yes,https://www.yourlourdes.com/locations/lourdes-medical-center,25,6,5/5/2025 12:00:00 AM,0,-13257637.7431,5818092.5607
30,Pullman Regional Hospital,30,835 SE Bishop Boulevard,Pullman,99163,5512,(509) 332-2541,(509) 332-4242,Yes,Yes,Yes,Yes,https://www.pullmanregional.org/,25,4,5/5/2025 12:00:00 AM,0,-13043279.1174,5895273.4894
31,Providence St. Mary Medical Center ,31,401 W. Poplar St,Walla Walla,99362,0312,(509) 525-3320,(509) 522-5950,Yes,Yes,No,Yes,https://www.providence.org/locations/wa/st-mary-medical-center,142,14,5/5/2025 12:00:00 AM,0,-13173904.4262,5790326.8589
32,Multicare Deaconess Hospital ,32,800 West Fifth Avenue,Spokane,99204, ,(509) 458-5800,(509) 473-2782,Yes,Yes,No,Yes,https://www.multicare.org/location/deaconess-hospital/,388,18,5/5/2025 12:00:00 AM,0,-13071507.8445,6049147.0159
33,Providence Sacred Heart Medical Center & Childrens Hospital,33,101 West 8th Ave,Spokane,99220,4045,(509) 474-3131,(509) 474-3351,Yes,Yes,No,Yes,https://www.wsha.org/members/providence-sacred-heart-medical-center-childrens-hospital,691,97,5/5/2025 12:00:00 AM,44,-13070359.4716,6048642.6377
34,Shriners Hospitals for Children - Spokane,34,911 West Fifth Avenue,Spokane,99204,7844,(509) 455-7844, ,Yes,No,No,No,https://www.shrinerschildrens.org/en/locations/spokane,69,0,5/5/2025 12:00:00 AM,0,-13071765.9192,6048972.6972
